Photo_Name,lumMean_UV_CLAW,lumSD_UV_CLAW,area_CLAW,maxPower_CLAW,maxFreq_CLAW,propPower_CLAW,sumPower_CLAW,meanPower_CLAW,powerSD_CLAW,G_Mean_CLAW,G_SD_CLAW,B_Mean_CLAW,B_SD_CLAW,UVB_Mean_CLAW,UVB_SD_CLAW,UVR_Mean_CLAW,UVR_SD_CLAW,Comb_UVB_UVR_Mean,UVB_UVR_div2
ER23B13,9.271,0.201,283,64.905,141.421,0.217,298.43,49.738,16.365,56999.047,9189.546,56956.769,9508.83,10875.273,2183.976,12516.703,2631.189,23391.976,11695.988
ER23B26,9.4,0.37,287,65.428,50,0.288,226.837,37.806,18.447,64135.789,16437,62246.709,16152.319,13127.697,5844.234,16201.943,5735.332,29329.64,14664.82
ER23B38,9.336,0.306,324,104.58,50,0.273,382.827,63.805,24.213,56537.406,17426.259,58814.485,18089.571,11916.33,3550.041,14116.976,4143.817,26033.306,13016.653
ER24B13,9.606,0.177,280,106.369,70.711,0.266,399.702,66.617,42.106,54183.043,17156.677,55140.187,12882.191,15128.478,2766.605,19521.624,3025.375,34650.102,17325.051
ER25A13,9.579,0.29,237,28.927,141.421,0.206,140.529,23.422,7.698,56831.838,13723.817,59690.274,12485.381,15138.217,4433.983,17376.253,4028.485,32514.47,16257.235
ER25A43,9.784,0.339,262,63.639,100,0.243,261.667,43.611,21.327,56749.858,14328.26,74806.637,18494.289,18842.814,6323.736,22062.142,7211.658,40904.956,20452.478
ER2A13,9.558,0.235,283,35.476,50,0.199,177.946,29.658,9.468,53287.105,12024.724,53652.652,10518.777,14581.991,3392.183,16086.902,3060.718,30668.893,15334.4465
ER2A26,9.64,0.168,293,65.551,200,0.269,243.883,40.647,17.335,64807.047,8771.795,67430.69,6576.273,15619.518,2488.324,18126.36,3158.029,33745.878,16872.939
ER2B26,9.502,0.264,301,60.045,50,0.359,167.203,27.867,19.208,62396.649,12905.683,64975.379,12476.101,13890.841,3548.134,15863.904,3379.833,29754.745,14877.3725
ER2B43,9.597,0.208,227,23.633,70.711,0.287,82.303,13.717,6.765,61746.276,13051.216,62393.158,12893.868,15113.973,3261.96,18679.831,3388.494,33793.804,16896.902
ER2B66,9.331,0.278,298,76.24,50,0.237,322.155,53.693,15.79,61672.869,13249.164,68431.524,13855.72,11760.526,3241.363,15042.839,3305.789,26803.365,13401.6825
ER5A43,9.593,0.227,269,39.51,50,0.347,113.702,18.95,12.339,55602.438,19236.975,59791.367,13532.98,15067.748,3344.207,17914.183,3008.054,32981.931,16490.9655
ER5B46,9.532,0.235,427,137.876,50,0.225,613.575,102.262,37.035,47758.126,13464.198,58259.332,15104.306,14230.313,3603.858,15617.836,3159.731,29848.149,14924.0745
ER7B26,9.722,0.195,346,115.544,50,0.304,379.94,63.323,37.264,54051.824,8990.711,60290.868,9479.931,17038.276,3280.112,19075.398,3256.665,36113.674,18056.837
ER8A26,10.111,0.305,405,139.03,50,0.246,566.124,94.354,32.771,80094.038,16913.159,91967.511,19630.687,25762.725,7497.708,29919.065,7248.403,55681.79,27840.895
ER9A13,9.554,0.263,329,78.466,50,0.233,336.265,56.044,17.972,70105.911,13045.519,68964.182,12612.198,14661.616,3950.931,16424.698,3145.006,31086.314,15543.157
EC10A26,10.039,0.222,403,127.513,50,0.279,456.427,76.071,48.993,56237.075,13463.496,71195.456,15307.305,23525.492,5287.703,27089.534,5205.238,50615.026,25307.513
EC10B26,9.75,0.267,377,107.917,141.421,0.227,476.139,79.357,23.531,50630.101,10521.421,54085.182,10961.618,17781.384,4389.714,19316.162,4171.88,37097.546,18548.773
EC11A13,10.074,0.258,269,920.476,50,0.426,2161.79,360.298,359.495,84401.267,12680.659,86427.24,10610.047,24603.976,6375.537,28595.477,6873.704,53199.453,26599.7265
EC11A28,9.749,0.285,410,1297.947,70.711,0.256,5070.771,845.129,457.888,54629.435,17961.223,66945.76,20984.249,17910.58,5317.128,21147.831,5453.096,39058.411,19529.2055
EC11A36,9.949,0.231,386,155.899,50,0.29,536.894,89.482,47.693,59407.525,16187.628,68195.674,17868.141,21525.452,4737.99,24340.466,5062.3,45865.918,22932.959
EC12B26,10.357,0.198,397,499.347,100,0.227,2204.418,367.403,157.659,89170.723,11036.662,95715.686,11581.598,32149.531,6581.551,35418.775,6633.386,67568.306,33784.153
EC13B23,9.584,0.217,327,1112.164,50,0.336,3313.847,552.308,402.627,52763.099,14868.344,64348.908,17717.463,14909.626,3153.447,18332.077,3678.977,33241.703,16620.8515
EC14A16,9.541,0.286,378,1112.958,70.711,0.287,3880.719,646.787,439.098,57661.629,14855.819,66375.361,18492.562,14553.136,4131.316,16931.966,4458.282,31485.102,15742.551
EC16B26,9.76,0.256,312,999.829,50,0.405,2471.411,411.902,361.036,67081.567,13568.197,71007.605,13475.328,17901.296,4149.095,20784.413,4107.436,38685.709,19342.8545
EC16B46,9.87,0.33,338,1076.298,50,0.41,2624.818,437.47,380.838,67256.832,10919.3,77098.483,13332.654,20392.617,6113.769,24730.804,6536.265,45123.421,22561.7105
EC22A13,9.533,0.23,286,1150.411,50,0.337,3418.348,569.725,441.84,43865.354,10242.074,55473.062,14113.437,14216.342,3304.022,15926.813,4033.443,30143.155,15071.5775
EC23A23,9.667,0.181,322,1319.423,50,0.327,4038.377,673.063,533.951,37158.085,7366.738,48116.436,8298.338,16076.615,2838.026,21569.731,3496.094,37646.346,18823.173
EC23B26,9.864,0.247,457,90.157,50,0.441,204.384,34.064,29.664,82607.034,11353.944,86781.486,10282.126,19872.367,4967.542,21971.621,4681.899,41843.988,20921.994
EC2A26,9.954,0.285,329,478.766,50,0.338,1416.934,236.156,156.832,58260.589,14950.55,67240.699,17756.852,21823.144,5118.704,23925.903,5335.82,45749.047,22874.5235
EC2A43,9.395,0.355,227,1018.997,50,0.348,2931.464,488.577,373.733,35069.228,5623.966,43849.417,7416.203,12844.547,4393.27,16730.077,5099.509,29574.624,14787.312
EC2B13,9.991,0.418,243,105.597,70.711,0.315,335.183,55.864,43.508,71557.983,18369.321,70056.247,16526.343,23968.835,10600.782,28416.052,11195.876,52384.887,26192.4435
EC2B26,9.899,0.43,339,1119.101,50,0.392,2853.219,475.537,415.188,76644.814,9350.626,82348.644,11926.475,21792.989,8911.247,25233.101,9949.551,47026.09,23513.045
DC21B13,9.628,0.191,221,634.067,50,0.269,2359.205,393.201,240.748,53000.217,9230.084,49601.7,5096.055,15544.761,3123.595,22906.922,3287.342,38451.683,19225.8415
EC10A13,9.387,0.244,225,84.232,50,0.433,194.685,32.448,30.199,45935.025,10783.486,43065.208,7368.529,12381.601,3159.589,14830.095,2917.35,27211.696,13605.848
EC10B38,9.382,0.311,369,211.25,50,0.252,839.179,139.863,53.217,38304.142,9790.363,47807.516,11623.648,12513.887,3989.323,13790.099,4133.117,26303.986,13151.993
EC10B43,9.28,0.305,283,801.564,50,0.313,2558.185,426.364,303.045,39406.123,13390.062,40624.417,8695.948,11266.503,3296.366,12860.281,3106.665,24126.784,12063.392
EC10B63,9.605,0.336,276,202.796,50,0.232,873.944,145.657,66.33,39722.991,10195.26,52613.388,13876.801,15762.644,5354.676,18633.352,6600.899,34395.996,17197.998
EC12B43,9.733,0.196,251,231.291,50,0.373,620.59,103.432,76.241,37881.654,6219.924,45118.633,6213.983,17233.274,3327.221,18857.362,2978.181,36090.636,18045.318
EC14A43,9.069,0.188,245,1305.448,50,0.339,3847.799,641.3,517.113,29399.582,7886.049,38260.568,7178.719,8863.221,1687.521,10772.969,1356.767,19636.19,9818.095
EC15A13,9.217,0.266,255,872.986,50,0.335,2602.284,433.714,336.328,36831.695,12644.705,40335.162,7984.708,10474.196,2617.098,12253.978,2977.332,22728.174,11364.087
EC15A46,9.676,0.235,358,36.799,50,0.2,184.047,30.674,5.601,51241.33,12077.579,60177.483,13658.384,16447.74,4236.801,18272.153,3736.715,34719.893,17359.9465
EC16A13,9.556,0.316,239,774.167,50,0.346,2238.797,373.133,300.243,38753.937,6525.769,43857.186,7018.585,14900.191,4421.491,16283.021,4935.549,31183.212,15591.606
EC16B13,9.632,0.201,266,599.564,50,0.34,1763.835,293.973,231.519,65141.367,16359.797,67868.72,16610.537,15614.247,3178.471,18531.901,3304.805,34146.148,17073.074
EC23B13,9.507,0.236,303,780.354,50,0.272,2873.812,478.969,280.925,46096.914,8926.233,50749.487,5922.612,13873.783,3175.873,15644.791,3413.768,29518.574,14759.287
EC23B38,9.731,0.343,490,211.986,50,0.247,858.941,143.157,69.334,54698.692,13609.436,64623.28,15315.275,17961.854,7135.715,19690.627,7456.595,37652.481,18826.2405
EC23B56,9.565,0.301,447,792.158,100,0.232,3412.319,568.72,263.567,54516.643,11641.922,65211.04,14791.289,14950.931,4477.639,17230.679,5192.544,32181.61,16090.805
EC23B73,9.47,0.209,341,147.027,50,0.33,445.974,74.329,39.675,37095.411,10413.405,47011.229,12784.59,13319.554,3029.502,16020.351,2660.159,29339.905,14669.9525
EC25A16,9.474,0.236,385,920.982,50,0.346,2658.141,443.024,358.826,46167.983,9226.05,57986.579,10449.642,13426.944,3216.968,14888.062,2631.576,28315.006,14157.503
EC2A13,9.304,0.262,229,1148.487,50,0.428,2684.779,447.463,442.549,53454.09,5980.306,55843.986,5809.67,11389.18,2874.151,13332.475,3516.959,24721.655,12360.8275
EC4B23,9.603,0.282,252,157.983,50,0.332,476.076,79.346,51.123,58230.425,6791.351,67467.331,8761.226,15533.466,4537.139,17176.062,3590.599,32709.528,16354.764
EC7B36,9.898,0.228,345,1207.028,70.711,0.271,4447.469,741.245,424.327,74088.066,19819.337,82707.941,24940.382,20465.711,4760.535,24167.02,4456.214,44632.731,22316.3655
EC8A63,9.439,0.252,312,1107.236,50,0.288,3846.694,641.116,399.44,43262.577,14379.299,53090.252,18258.708,13026.662,3194.803,14860.098,2898.173,27886.76,13943.38
DC23A13,9.735,0.239,252,149.635,50,0.316,474.214,79.036,45.677,38008.002,7555.955,42283.438,5923.784,17466.289,4262.555,19713.697,3385.949,37179.986,18589.993
AR14A348,9.722,0.344,517,117.87,50,0.276,426.456,71.076,42.26,42290.4,9161.697,53635.835,10332.525,17617.2,5117.572,19374.269,5039.214,36991.469,18495.7345
AR14A388,9.654,0.209,435,108.193,70.711,0.248,437.038,72.84,31.971,43561.974,5925.492,56289.893,7818.849,15997.763,3145.962,18098.434,3285.361,34096.197,17048.0985
AR18AL28,9.435,0.303,248,105.337,50,0.316,333.516,55.586,40.295,43961.684,6199.195,56675.666,9376.629,13158.196,3875.987,15732.4,5375.808,28890.596,14445.298
AR18AL36,9.171,0.188,201,24.954,70.711,0.25,99.673,16.612,7.953,43145.562,5224.67,54732.597,7602.873,9835.064,1748.547,11585.666,2353.245,21420.73,10710.365
AR20BL106,9.488,0.232,344,66.107,50,0.337,196.428,32.738,20.649,37307.194,4876.302,50975.751,9190.665,13617.78,3129.628,14929.726,4743.28,28547.506,14273.753
AR23AL28,9.202,0.335,461,123.021,50,0.355,346.385,57.731,44.226,36990.771,5251.054,50026.555,7751.19,10512.652,3414.671,12336.808,4060.02,22849.46,11424.73
ER10B23,9.528,0.317,258,65.69,50,0.362,181.218,30.203,21.661,52950.215,12198.691,59136.585,9390.176,14558.605,4935.071,17302.651,4386.367,31861.256,15930.628
ER10B46,9.713,0.176,309,87.332,50,0.236,369.743,61.624,18.302,45708.881,10228.241,55430.505,11972.107,16851.236,2839.021,18727.121,2417.252,35578.357,17789.1785
ER11A26,9.426,0.297,331,61.961,100,0.255,242.565,40.428,18.976,30647.594,11519.324,42823.877,14250.286,12979.345,3621.915,15134.073,3552.111,28113.418,14056.709
ER11B13,9.225,0.3,309,85.13,50,0.371,229.492,38.249,25.446,39467.188,9869.794,45609.099,9682.031,10676.937,3391.131,12825.129,3819.479,23502.066,11751.033
ER11B26,9.608,0.302,299,128.487,50,0.282,456.086,76.014,30.908,39611.3,12089.505,50202.33,13603.23,15564.71,4387.415,16946.318,4332.158,32511.028,16255.514
ER11B36,9.829,0.305,300,103.268,50,0.241,428.163,71.36,21.394,45552.082,11940.225,60084.865,13708.667,19412.951,5274.525,23045.794,5565.225,42458.745,21229.3725
ER11B38,9.411,0.258,318,82.483,200,0.236,349.242,58.207,17.634,23618.544,8343.376,37413.69,12646.071,12659.899,3069.136,15778.848,2814.65,28438.747,14219.3735
ER11B56,9.695,0.25,281,172.675,50,0.36,479.353,79.892,57.397,52137.028,15973.025,63745.002,17936.366,16788.592,4052.956,21375.546,3925.333,38164.138,19082.069
ER11B73,9.274,0.256,216,122.115,50,0.448,272.774,45.462,43.672,41148.184,7517.654,49630.813,9877.77,11042.871,2713.516,12881.423,2497.657,23924.294,11962.147
ER12A13,9.547,0.385,255,112.527,50,0.304,370.081,61.68,30.288,46733.013,16364.008,56254.897,15112.05,15123.361,5668.812,17184.974,5465.804,32308.335,16154.1675
ER12B33,9.666,0.259,335,109.028,50,0.297,367.652,61.275,28.965,40837.29,10834.117,51098.048,13517.029,16317.451,3939.218,17321.458,3840.398,33638.909,16819.4545
ER12C13,9.377,0.298,270,26.406,100,0.244,108.026,18.004,9.051,42037.804,9807.195,46919.106,8006.312,12406.748,3773.09,13449.953,3278.291,25856.701,12928.3505
ER13A33,9.509,0.272,297,54.118,200,0.25,216.561,36.094,12.542,48966.236,12238.132,49742.195,7292.423,14023.482,3635.075,15405.942,3183.921,29429.424,14714.712
ER13A56,9.581,0.18,319,67.424,70.711,0.237,284.048,47.341,15.195,45695.881,10460.606,57599.684,11781.781,14774.623,2706.874,17513.685,2851.225,32288.308,16144.154
ER13C13,9.139,0.192,304,62.565,70.711,0.258,242.107,40.351,21.469,40107.182,13141.942,45098.014,10445.556,9511.997,1823.653,11527.14,2141.901,21039.137,10519.5685
ER14A13,9.258,0.291,292,59.622,70.711,0.232,257.03,42.838,15.473,48530.116,11342.809,49938.582,8798.289,10953.972,2886.395,12635.845,3677.469,23589.817,11794.9085
ER14A26,9.548,0.402,373,81.297,70.711,0.235,345.882,57.647,16.442,58087.428,14596.816,67540.234,16046.209,15668.599,10573.904,17080.634,10020.882,32749.233,16374.6165
ER14B26,9.466,0.287,296,64.395,50,0.29,222.246,37.041,18.346,59280.473,8930.862,65027.693,10173.019,13513.709,4002.702,15897.368,4875.14,29411.077,14705.5385
ER14B38,9.681,0.253,317,124.09,50,0.286,434.507,72.418,31.113,45976.784,14413.737,55971.93,17583.735,16587.277,4248.189,19492.21,4234.27,36079.487,18039.7435
ER14C13,9.336,0.219,254,35.988,100,0.275,130.981,21.83,11.056,38187.194,14164.712,43064.321,13078.966,11669.165,2619.463,13463.537,2409.604,25132.702,12566.351
ER15A13,9.792,0.416,300,115.854,100,0.251,461.094,76.849,41.369,42082.317,23530.288,48229.605,19398.781,19527.524,7780.399,23873.799,8721.719,43401.323,21700.6615
ER15A38,9.712,0.235,417,103.959,50,0.229,454.095,75.683,26.915,33331.97,7923.786,44920.463,8917.718,16989.371,3739.822,18633.82,3664.757,35623.191,17811.5955
ER15A66,9.769,0.283,389,170.027,50,0.298,571,95.167,51.502,44240.705,9964.48,55718.519,12573.441,18177.525,4745.958,20138.499,4857.636,38316.024,19158.012
ER15B26,9.305,0.276,342,24.649,50,0.221,111.438,18.573,6.611,38270.336,10951.906,45643.212,10571.606,11463.638,3145.573,13598.634,3654.34,25062.272,12531.136
ER15B38,9.554,0.376,453,135.999,50,0.23,591.954,98.659,27.183,34856.203,15412.122,48500.235,17168.438,15152.377,5533.05,17662.87,5206.288,32815.247,16407.6235
ER15B83,9.699,0.235,306,122.407,50,0.355,344.694,57.449,37.14,38543.026,8614.666,55451.739,15600.53,16753.002,3637.256,22696.39,4193.165,39449.392,19724.696
ER15C13,9.447,0.22,325,108.96,100,0.25,435.849,72.642,34.316,45556.541,15701.17,52284.199,15297.194,13022.407,2722.887,14844.95,2809.367,27867.357,13933.6785
ER16A13,8.967,0.237,254,86.371,100,0.245,353.025,58.837,29.435,32133.968,9054.151,36230.641,6412.187,8091.746,1878.462,9344.131,2215.928,17435.877,8717.9385
ER16A38,9.919,0.168,402,118.182,70.711,0.243,486.366,81.061,24.679,50480.991,11418.281,63427.596,12648.77,20640.403,3386.037,22837.044,3077.912,43477.447,21738.7235
ER16A56,9.647,0.332,359,61.487,70.711,0.222,277.348,46.225,14.806,46353.238,10618.689,60906.351,12463.548,16329.296,5017.779,17937.273,5069.135,34266.569,17133.2845
ER16B13,9.11,0.306,250,59.488,50,0.232,256.462,42.744,17.722,36858.236,9255.877,39622.846,7874.383,9539.189,3107.907,12396.815,3254.386,21936.004,10968.002
ER16B26,9.486,0.246,318,55.099,50,0.362,152.331,25.388,17.543,47986.83,13275.239,49748.791,13186.21,13604.965,3101.439,15548.083,2985.879,29153.048,14576.524
ER17A13,9.37,0.209,294,89.868,50,0.326,275.401,45.9,24.039,38394.003,15220.675,44676.153,11215.516,12039.421,2365.23,13451.838,2127.02,25491.259,12745.6295
ER17A26,9.519,0.245,397,77.164,100,0.261,295.867,49.311,21.241,39985.119,12736.92,52920.306,14596.409,14033.81,3270.022,15423.431,3652.368,29457.241,14728.6205
ER17A43,9.7,0.262,288,65.144,50,0.259,251.896,41.983,25.552,42048.682,11025.523,57317.653,15589.788,16933.545,4299.265,19468.943,3910.274,36402.488,18201.244
ER17B23,9.08,0.297,247,25.637,50,0.261,98.086,16.348,8.886,31829.137,11962.857,38219.307,11691.181,9221.58,2712.373,11307.406,3080.619,20528.986,10264.493
ER17B63,9.041,0.308,249,145.634,50,0.381,382.474,63.746,48.998,24873.42,5637.325,36604.089,9475.306,8894.797,2708.893,10873.009,3071.234,19767.806,9883.903
ER18A46,9.504,0.194,444,114.359,70.711,0.28,409.08,68.18,36.449,45110.413,8384.781,56178.277,10274.475,13716.369,2651.799,17081.26,2616.107,30797.629,15398.8145
ER18A73,9.597,0.199,309,125.154,50,0.306,408.53,68.088,39.576,36738.262,9078.713,45825.693,10676.616,15042.695,2866.229,16385.228,2834.908,31427.923,15713.9615
ER18B13,9.508,0.218,306,78.507,100,0.228,344.869,57.478,21.478,48053.154,14923.505,53193.085,13411.433,13832.589,2956.823,15948.371,2585.176,29780.96,14890.48
ER18B38,9.047,0.282,448,183.733,50,0.294,625.55,104.258,47.967,26844.583,6235.958,37930.991,9452.913,8849.567,2349.697,10311.601,2275.143,19161.168,9580.584
ER18C13,9.718,0.35,332,140.819,100,0.264,534.182,89.03,48.284,44305.35,19603.086,45748.141,14611.924,17773.371,6673.419,20223.6,6412.544,37996.971,18998.4855
ER19A23,9.208,0.296,301,71.876,70.711,0.257,279.729,46.621,24.016,37637.239,13097.322,43709.907,11529.545,10456.681,3118.452,12891.234,3935.602,23347.915,11673.9575
ER19A38,9.665,0.295,498,131.157,50,0.265,494.911,82.485,41.107,38800.659,11741.938,48776.489,15315.422,16516.578,4922.619,17844.417,4783.695,34360.995,17180.4975
ER19B13,9.529,0.311,323,72.851,100,0.222,328.605,54.768,21.589,38973.33,12816.615,44035.549,9817.19,14482.387,4396.976,17764.1,4521.965,32246.487,16123.2435
ER19B26,9.541,0.244,433,105.765,70.711,0.25,423.447,70.574,36.296,55851.439,17127.877,63331.612,17894.452,14366.345,3376.354,16861.721,3930.512,31228.066,15614.033
ER19B38,9.304,0.257,450,132.697,141.421,0.24,553.615,92.269,31.993,32261.479,6986.492,42722.462,8030.816,11368.578,2760.029,13160.303,2755.238,24528.881,12264.4405
ER19B53,9.1,0.298,301,65.282,50,0.23,283.847,47.308,13.464,33689.697,14151.368,46242.414,16956.99,9394.993,2711.102,11125.181,3034.984,20520.174,10260.087
ER19C13,9.479,0.271,401,58.309,100,0.262,222.762,37.127,16.959,43126.45,15761.462,47572.418,12229.279,13607.59,3698.061,15640.832,3938.242,29248.422,14624.211
ER1A13,9.421,0.203,249,36.011,50,0.298,120.825,20.137,12.777,46748.094,14361.714,49631.861,12707.569,12638.002,2561.363,14498.415,2052.895,27136.417,13568.2085
AR13A118,9.46,0.264,477,82.542,282.843,0.301,273.925,45.654,27.257,29739.865,6839.81,37563.233,9021.824,13316.665,3344.058,16741.064,2912.171,30057.729,15028.8645
AR13A226,9.783,0.292,413,27.485,50,0.207,132.542,22.09,5.262,45605.507,8272.691,52493.953,9782.889,18477.922,4790.202,23686.98,4938.528,42164.902,21082.451
AR13A253,9.546,0.232,281,36.421,50,0.276,132.193,22.032,11.389,23563.073,6864.065,25051.516,9679.887,14467.087,3350.026,19998.054,3157.5,34465.141,17232.5705
AR13A303,9.242,0.184,231,28.681,141.421,0.238,120.673,20.112,7.884,22255.486,4310.078,28277.742,11173.045,10557.591,1953.397,12698.269,2407.242,23255.86,11627.93
AR14A323,9.859,0.251,258,64.48,70.711,0.298,216.149,36.025,25.343,35576.712,12774.252,37212,13955.687,19887.867,5345.278,24550.786,5399.938,44438.653,22219.3265
AR14B16,9.605,0.177,330,95.114,141.421,0.242,393.372,65.562,20.585,49963.286,5704.888,62814.695,22709.694,15110.555,2588.092,17311.218,2488.329,32421.773,16210.8865
AR14B228,9.56,0.244,304,44.935,50,0.252,178.471,29.745,11.989,34098.343,6170.086,51595,13637.172,14643.766,3472.236,15689.561,4246.494,30333.327,15166.6635
AR14B278,10.017,0.208,328,53.654,50,0.256,209.883,34.981,12.953,37894.258,6215.589,52789.788,10363.829,23028.797,5004.532,25620.168,5303.145,48648.965,24324.4825
AR15B178,9.49,0.31,379,67.449,100,0.276,244.706,40.784,18.313,35649.78,12159.861,47799.294,12577.336,13910.213,4154.358,14930.327,3596.739,28840.54,14420.27
AR15B188,9.161,0.238,330,62.278,200,0.243,256.618,42.77,13.275,24139.944,7301.741,36121.804,11151.254,9837.084,2318.828,12733.629,2688.228,22570.713,11285.3565
AR16A153,9.623,0.204,259,100.807,50,0.259,389.338,64.89,26.923,25304.897,4838.498,27101.955,6110.225,15453.668,2771.021,21453.989,2610.001,36907.657,18453.8285
AR16BL26,9.328,0.258,346,105.44,141.421,0.216,488.802,81.467,19.944,44642.231,10567.726,53869.61,12516.175,11640.895,2756.194,12947.312,2728.962,24588.207,12294.1035
AR16BL33,8.987,0.209,302,69.764,200,0.212,328.327,54.721,11.084,34715.661,6805.909,43175.771,6782.992,8215.274,1654.579,9844.029,2138.551,18059.303,9029.6515
AR18B136,9.544,0.243,317,28.314,50,0.233,121.717,20.286,5.229,53199.151,7731.797,59582.802,7725.184,14404.523,3182.302,16168.989,2725.284,30573.512,15286.756
AR18B153,9.445,0.285,235,24.061,50,0.268,89.835,14.973,6.265,28879.87,6454.19,31558.846,9554.577,13237.13,3522.869,15559.563,3719.844,28796.693,14398.3465
AR18B78,9.604,0.298,415,38.12,200,0.179,212.825,35.471,2.626,36524.857,6664.671,51325.83,10072.162,15475.701,4057.477,17434.51,4725.769,32910.211,16455.1055
AR19B56,9.265,0.209,311,94.496,141.421,0.234,404.005,67.334,19.072,43260.458,7868.148,53623.283,10893.835,10840.875,2290.445,11860.407,2268.883,22701.282,11350.641
AR19B63,9.371,0.19,247,42.327,70.711,0.242,174.557,29.093,12.247,28105.662,8104.987,28786.977,10432.57,12048.724,2280.126,14457.981,2404.394,26506.705,13253.3525
